,kId,group,make,model,year,imageLink,stockPerformancePoints,maxPerformancePoints,stockDrivetrain,stockIngamePrice,carSource,stockSpeed,stockHandling,stockAcceleration,stockLaunch,stockBraking,stockOffroad,stockTopSpeedKmh,stockLateralGs,stock0To97,stock0To161,stockHorsepower,stockWeightLbs
0,1,RETRO HOT HATCH,Acura,Integra Type R,2001,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_001.jpg?v=1,596,922.0,FWD,25000,Autoshow,5.6,5.1,3.9,3.1,3.4,5.1,250.3,0.9,6.248,14.716,195,2639
1,2,RETRO HOT HATCH,Acura,RSX Type S,2002,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_002.jpg?v=1,585,906.0,FWD,25000,Autoshow,5.6,5.1,3.9,3.0,3.5,5.3,238.8,0.9,6.717,18.019,200,2820
2,3,MODERN SUPERCARS,Acura,NSX,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_003.jpg?v=1,831,959.0,AWD,170000,Autoshow,7.0,7.0,9.2,10.0,7.1,4.7,311.2,1.1,2.7,6.4,573,3803
3,4,CLASSIC RALLY,Alpine,A110 1600s,1973,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_004.jpg?v=1,550,936.0,RWD,98000,Autoshow,5.0,4.4,4.1,3.1,3.0,5.3,222.1,0.84,6.975,20.663,123,1576
4,5,MODERN SPORTS CARS,Alpine,A110,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_005.jpg?v=1,694,926.0,RWD,67500,Wheelspin,6.0,6.4,5.4,5.7,4.2,4.2,263.9,0.98,4.286,11.584,248,2432
5,6,UNLIMITED BUGGIES,Alumi Craft,Class 10 Race Car,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_006.jpg?v=1,642,862.0,RWD,300000,Autoshow,4.4,3.8,5.0,4.1,4.8,10.0,196.2,0.91,5.079,16.413,196,2200
6,7,CULT CARS,AMC,Gremlin X,1973,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_007.jpg?v=1,403,961.0,RWD,35000,Autoshow,4.0,3.9,3.4,3.4,2.3,5.2,180.3,0.78,9.581,25.066,150,2840
7,8,UNLIMITED OFFROAD,AMG TRANSPORT DYNAMICS,M12S Warthog CST,2554,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_008.jpg?v=1,719,817.0,AWD,850000,Autoshow,4.2,4.1,8.6,10.0,6.7,10.0,188.1,0.96,3.535,9.229,720,5071
8,9,EXTREME TRACK TOYS,Apollo,Intensa Emozione,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_009.jpg?v=1,963,999.0,RWD,1500000,Autoshow,7.4,10.0,7.7,8.4,10.0,3.9,329.1,1.73,2.566,5.165,780,2756
9,10,EXTREME TRACK TOYS,Apollo,"Intensa Emozione ""Welcome Pack""",-1,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_010.jpg?v=1,998,999.0,RWD,1500000,Autoshow,7.6,10.0,7.9,8.6,10.0,3.8,339.6,1.78,2.565,5.16,930,2480
10,11,EXTREME TRACK TOYS,Ariel,Atom 500 V8,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_011.jpg?v=1,924,999.0,RWD,200000,Autoshow,6.3,8.8,7.8,8.5,7.2,3.9,284.6,1.32,2.983,5.682,475,1433
11,12,UNLIMITED BUGGIES,Ariel,Nomad,2016,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_012.jpg?v=1,711,910.0,RWD,93000,Autoshow,5.2,4.7,6.5,7.2,4.2,8.1,231.6,0.96,3.4,8.7,236,1477
12,13,RARE CLASSICS,Aston Martin,DB5,1964,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_013.jpg?v=1,548,921.0,RWD,800000,Autoshow,5.4,4.0,4.0,3.4,2.7,5.4,243.5,0.79,8.079,18.978,325,3230
13,14,SUPER GT,Aston Martin,V12 Vantage S,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_014.jpg?v=1,796,958.0,RWD,240000,Autoshow,7.8,6.2,5.4,5.7,6.4,4.4,343.3,1.0,4.086,8.784,565,3671
14,15,TRACK TOYS,Aston Martin,Vantage GT12,2016,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_015.jpg?v=1,829,972.0,RWD,400000,Accolade,6.7,8.0,5.9,6.1,8.1,4.4,294.5,1.16,3.686,7.984,593,3450
15,16,SUPER GT,Aston Martin,DB11,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_016.jpg?v=1,787,936.0,RWD,300000,Autoshow,7.3,6.5,5.7,6.1,6.1,4.7,324.8,1.07,3.686,7.885,608,4134
16,17,EXTREME TRACK TOYS,Aston Martin,Vulcan AMR Pro,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_017.jpg?v=1,953,999.0,RWD,2000000,Autoshow,7.7,9.6,6.5,7.0,10.0,3.2,339.6,1.73,2.968,5.732,820,2998
17,18,GT CARS,Aston Martin,Vantage,2019,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_018.jpg?v=1,801,968.0,RWD,430000,Autoshow,7.0,6.7,6.0,6.4,6.1,4.6,309.0,1.11,3.5,8.4,503,3497
18,19,SUPER GT,Aston Martin,DBS Superleggera,2019,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_019.jpg?v=1,835,943.0,RWD,350000,Autoshow,7.8,6.6,5.8,6.2,6.9,4.5,346.6,1.09,3.387,6.386,715,3966
